candidate id (if applicable),committee id,committee name,filing frequency,Election year (if applicable),committee type,committee designation,filing start date,filing end date,total disbursements,new loans,outstanding loans,total receipts,cash on hand close of period,contributions from party committees,contributions from other committees,Transfers received from other affiliated or authorized committees,Individual Itemized Contribution,Individual Unitemized Contribution,Contributions from the candidate (candidate committees only),Sum of loans from the candidate,Sum of loans from other sources
H4AL01149,C00546309,CHAD FINCHER FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,,,38000.00,,1904.14,,,,,,,,
S2GA00118,C00266932,CHAMBLISS FOR SENATE,Quarterly,2016,Senate,Principal Committee of Candidate,2015-01-01,2015-03-31,51650.00,,,961.00,508256.00,,,,,,,,
H4LA07029,C00394866,"CHARLES BOUSTANY JR. MD FOR CONGRESS, INC.",Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,323103.23,,,657623.78,701038.43,,227700.00,,418173.42,11404.00,,,
H2PA05058,C00514836,CHARLES DUMAS FOR CONGRESS,Termination report,2016,House,Principal Committee of Candidate,2015-01-01,2015-04-13,,,,,-258.12,,,,,,,,
S4WY00097,C00554758,CHARLIE HARDY FOR US SENATE,Quarterly,2016,Senate,Principal Committee of Candidate,2015-01-01,2015-03-31,3128.00,,48801.00,1189.00,1455.00,,,,700.00,489.00,,,
S4MS00138,C00559997,CHILDERS FOR SENATE INC,Quarterly,2016,Senate,Principal Committee of Candidate,2015-01-01,2015-03-31,102878.00,,133815.00,102510.00,2432.00,,,,,,102510.00,,
H4GA02078,C00560359,CHILDS FOR CONGRESS COMMITTEE,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,,,10000.00,,35.00,,,,,,,,
,C00573899,CHIP MILLS FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-04-01,2015-04-22,84260.01,,30000.00,17900.00,18993.55,,,,13600.00,4300.00,,,
S0DE00092,C00475392,CHRIS COONS FOR DELAWARE,Quarterly,2016,Senate,Principal Committee of Candidate,2015-01-01,2015-03-31,78399.00,,,18427.00,658261.00,,12000.00,,3250.00,2696.00,,,
S4MN00379,C00550459,CHRIS DAHLBERG FOR US SENATE,Quarterly,2016,Senate,Principal Committee of Candidate,2015-01-01,2015-03-31,3934.00,,4628.00,4160.00,564.00,,,,800.00,2110.00,1250.00,,
H4NY17135,C00557512,CHRIS DAY FOR CONGRESS,Termination report,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,9605.36,,,425.14,,,,,,25.00,,,
,C00573899,CHIP MILLS FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,15996.44,30000.00,30000.00,101350.00,85353.56,,,,63900.00,7450.00,,30000.00,
H0TN03254,C00461822,"CHUCK FLEISCHMANN FOR CONGRESS COMMITTEE, INC.",Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,42995.31,,265808.99,138050.00,147617.82,,64000.00,,74050.00,,,,
H2NV01207,C00511667,CHRIS EDWARDS FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,,,58000.00,,875.23,,,,,,,,
H8CT04057,C00215699,CHRISTOPHER SHAYS FOR CONGRESS COMMITTEE,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,245.00,,269636.00,200.00,159.00,,,,,,,,
H2OH03141,C00517441,CITIZENS FOR CHRIS LONG,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,,,,,,,,,,,,,
H4MD06191,C00545475,CITIZENS FOR BONGINO,Termination report,2016,House,Principal Committee of Candidate,2015-01-01,2015-04-10,16460.22,,,552.53,,,,,,10.00,,,
H4WA04096,C00558601,CICOTTE FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2014-10-01,2015-04-07,417.89,,417.89,,,,,,,,,,
H6MA08141,C00222455,CITIZENS FOR JOE KENNEDY 1988,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,46714.00,,,40130.19,2621833.22,,,,,,,,
S0AK00121,C00522730,CITIZENS FOR JOE MILLER,Quarterly,2016,Senate,Principal Committee of Candidate,2015-01-01,2015-04-01,295.00,,,10.00,99440.00,,,,,,,,
H0DC00058,C00244335,CITIZENS FOR ELEANOR HOLMES NORTON,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,35141.35,,,8800.00,194334.78,,8500.00,,300.00,,,,
H2OH03067,C00373001,CITIZENS FOR TURNER,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,54017.30,,6995.93,102129.94,461751.60,,65250.00,,32350.00,2367.00,,,
H8NY20080,C00332411,CITIZENS FOR PAUL FEINER,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,,,,1.50,40913.19,,,,,,,,
H2IL01042,C00257121,CITIZENS FOR RUSH,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,37837.32,,25589.43,37470.00,32537.76,,33000.00,,4250.00,220.00,,,
